usluga_id,nazwa_uslugi,cena_uslugi
503,Astragalus beathii Ced. Porter,30
504,Kalopanax septemlobus (Thunb.) Koidz,50
505,Eriogonum umbellatum Torr. var. modocense (Greene) S. Stokes,50
506,Eriogonum umbellatum Torr. var. torreyanum (A. Gray) M.E. Jones,25
507,Echinacea purpurea (L.) Moench,50
508,Mimulus gemmiparus W.A. Weber,10
509,Nymphaea elegans Hook.,30
510,Collema callibotrys Tuck.,100
511,Aristida gyrans Chapm.,10
512,Sansevieria roxburghiana Schult. & Schult. f.,55
513,Diapensia lapponica L. var. lapponica,55
514,Digitaria californica (Benth.) Henr.,5
515,Reynosia uncinata Urb.,25
516,Arctagrostis latifolia (R. Br.) Griseb. ssp. arundinacea (Trin.) Tzvelev,30
517,Anthurium andraeanum Linden,10
518,Physaria alpina Rollins,100
519,Pharus parvifolius Nash,100
520,Plantago heterophylla Nutt.,100
521,Betula occidentalis Hook.,10
522,Sporobolus vaginiflorus (Torr. ex A. Gray) Alph. Wood,50
523,Calamagrostis koelerioides Vasey,100
524,Fimbristylis littoralis Gaudich.,10
525,Oenothera xylocarpa Coville,10
526,Oldenlandia lancifolia (Schumach.) DC.,55
527,Eucalyptus goniocalyx F. Muell. ex Miq.,50
528,Seymeria pectinata Pursh ssp. peninsularis (Pennell) Pennell,30
529,Dittrichia graveolens (L.) Greuter,50
530,Amelanchier laevis Wiegand,55
531,Hypocenomyce scalaris (Ach. ex Lilj.) M. Choisy,25
532,Brugmansia sanguinea (Ruiz & Pav.) D. Don,30
533,Begonia decandra Pav. ex A. DC.,100
534,Stuckenia ×suecica (K. Richt.) Holub,10
535,Pseudoscleropodium (Limpr.) Fleisch.,100
536,Lomatium juniperinum (M.E. Jones) J.M. Coult. & Rose,30
537,Helenium elegans DC. var. elegans,5
538,Arthothelium orbilliferum (Almq.) Hasse,55
539,Cypripedium parviflorum Salisb. var. parviflorum,55
540,Pachyrhizus ahipa (Wedd.) L. Parodi,50
541,Veronicastrum Heist. ex Fabr.,100
542,Orobanche californica Cham. & Schltdl.,50
543,Crepis atribarba A. Heller ssp. originalis (Babc. & Stebbins) Babc. & Stebbins,50
544,Ruellia pedunculata Torr. ex A. Gray ssp. pinetorum (Fernald) R.W. Long,5
545,Achillea millefolium L. var. alpicola (Rydb.) Garrett,55
546,Pseudophoenix sargentii H. Wendl. ex Sarg.,55
547,Coenogonium implexum Nyl.,10
548,Andropogon hallii Hack.,50
549,Lantana strigosa (Griseb.) Urb.,10
550,Mentzelia humilis (A. Gray) J. Darl. var. guadalupensis Spellenb.,50
551,Botrychium lanceolatum (S.G. Gmel.) Angstr. var. angustisegmentum Pease & A.H. Moore,50
552,Sinosenecio newcombei (Greene) J.P. Janovec & T.M. Barkley,100
553,Juncus pelocarpus E. Mey.,10
554,Polystichum microchlamys (Christ) Matsum.,25
555,Phlox nivalis Lodd. ex Sweet ssp. texensis Lundell,25
556,Mandevilla brachysiphon (Torr.) Pichon,50
557,Quercus grisea Liebm.,10
558,Crataegus crus-galli L.,55
559,Teloschistes contortuplicatus (Ach.) Clauzade & Rondon ex Vezda,10
560,Condalia globosa I.M. Johnst.,5
561,Fryxellia D.M. Bates,30
562,Hackelia cinerea (Piper) I.M. Johnst.,50
563,Ptelea trifoliata L. ssp. trifoliata var. mollis Torr. & A. Gray,50
564,Hamamelis virginiana L.,100
565,Cardamine occidentalis (S. Watson ex B.L. Rob.) Howell,10
566,Syzygium grande (Wight) Wight ex Walp.,5
567,Physcia (Schreb.) Michx.,25
568,Rhynchospora domingensis Urb.,55
569,Dichanthelium ovale (Elliott) Gould & C.A. Clark var. ovale,30
570,Menodora heterophylla Moric. ex DC.,100
571,Ribes californicum Hook. & Arn. var. californicum,55
572,Andromeda L.,100
573,Euphorbia neriifolia L.,30
574,Galium stellatum Kellogg ssp. eremicum (Hilend & J.T. Howell) Ehrend.,30
575,Pentachaeta aurea Nutt. ssp. allenii D.J. Keil,100
576,Trematolobelia wimmeri O. Deg. & I. Deg.,25
577,Schefflera arboricola (Hayata) Merr.,5
578,Ramalina montagnei De Not.,55
579,Campylopus oerstedianus (Müll. Hal.) Mitt.,100
580,Cenchrus agrimonioides Trin.,50
581,Delissea niihauensis H. St. John ssp. kauaiensis (Lammers) Lammers,25
582,Aspicilia leprosescens (Sandst.) Hav.,5
583,Utricularia caerulea L.,30
584,Allium brandegeei S. Watson,55
585,Andropogon arctatus Chapm.,10
586,Anthurium ×selloum K. Koch (pro sp.),5
587,Dermatocarpon luridum (With.) J.R. Laundon,50
588,Polygonatum multiflorum (L.) Allioni,50
589,Tolpis barbata (L.) Gaertn.,100
590,Encelia scaposa (A. Gray) A. Gray,10
591,Peperomia kipahuluensis H. St. John & C. Lamoureux,25
592,Synthlipsis greggii A. Gray,50
593,Polygonum arenastrum Jord. ex Boreau,55
594,Pseudolysimachion spurium (L.) Rauschert,50
595,Rubus triphyllus Thunb.,5
596,Calamagrostis coarctata Eaton,10
597,Ardisia escallonoides Schiede & Deppe ex Schltdl. & Cham.,100
598,Carex debilis Michx. var. pubera A. Gray,25
599,Opuntia aciculata Griffiths,5
600,Smilax californica (A. DC.) A. Gray,50
601,Packera pseudaurea (Rydb.) W.A. Weber & Á. Löve,55
602,Rubus cuneifolius Pursh,10
603,Lyonia truncata Urb. var. proctorii W.S. Judd,10
604,Dicerandra linearifolia (Elliott) Benth.,10
605,Taenidia (Torr. & A. Gray) Drude,100
606,Peltula cylindrica Wetmore,5
607,Rhynchospora torreyana A. Gray,30
608,Puccinellia distans (Jacq.) Parl.,30
609,Gomphrena serrata L.,10
610,Scleria pauciflora Muhl. ex Willd. var. pauciflora,55
611,Cladonia decorticata (Flörke) Spreng.,5
612,Arctostaphylos manzanita Parry ssp. elegans (Eastw.) P.V. Wells,25
613,Lycurus phleoides Kunth,5
614,Cordylanthus ramosus Nutt. ex Benth.,10
615,Coprosma ochracea W.R.B. Oliv.,30
616,Crepis nana Richardson ssp. nana,10
617,Platythelys querceticola (Lindl.) Garay,5
618,Rinodina (Ach.) A. Gray,30
619,Narcissus ×medioluteus Mill. (pro sp.),30
620,Jasminum mesnyi Hance,10
621,Uvularia perfoliata L.,25
622,Desmatodon plinthobius Sull. & Lesq.,100
623,Oncidium Sw.,55
624,Hymenopappus flavescens A. Gray var. canotomentosus A. Gray,5
625,Santalum haleakalae Hillebr.,10
626,Heterocarpon ochroleucum (Tuck.) Müll. Arg.,50
627,Rubus russeus L.H. Bailey,5
628,Antidesma platyphyllum H. Mann,5
629,Antennaria anaphaloides Rydb.,100
630,Ivesia aperta (J.T. Howell) Munz var. canina Ertter,5
631,Sloanea amygdalina Griseb.,30
632,Lippia graveolens Kunth,5
633,Aspicarpa hirtella Rich.,25
634,Isothecium alopecuroides (Dubois) Isov.,30
635,Orthocarpus cuspidatus Greene ssp. cryptanthus (Piper) T.I. Chuang & Heckard,55
636,Penstemon davidsonii Greene var. praeteritus Cronquist,50
637,Cystopteris laurentiana (Weath.) Blasdell,10
638,Viola vallicola A. Nelson var. vallicola,100
639,Conium maculatum L.,50
640,Epilobium canum (Greene) P.H. Raven ssp. latifolium (Hook.) P.H. Raven,25
641,Tortula laevipila (Brid.) Schwägr. var. laevipila,100
642,Spartina gracilis Trin.,10
643,Hypotrachyna showmanii Hale,100
644,Entosthodon rubiginosus (R.S. Williams) Grout,100
645,Diplacus clevelandii (Brandegee) Greene,30
646,Epidendrum anceps Jacq.,5
647,Corylus L.,50
648,Salix ×peasei Fernald (pro sp.),50
649,Hedyotis st.-johnii B.C. Stone & M.A. Lane,100
650,Palafoxia feayi A. Gray,30
651,Lepidium campestre (L.) W.T. Aiton,5
652,Limnosciadium Mathias & Constance,50
653,Mimulus moschatus Douglas ex Lindl. var. sessilifolius A. Gray,10
654,Brickellia rusbyi A. Gray,50
655,Perityle staurophylla (Barneby) Shinners var. staurophylla,5
656,Perrottetia Kunth,100
657,Vezdaea stipitata Poelt & Dobbeler,55
658,Phaeographis inusta (Ach.) Müll. Arg.,55
659,Crepis nicaeensis Balbis ex Pers.,50
660,Polygonum amphibium L. var. emersum Michx.,25
661,Stellaria crassifolia Ehrh. var. crassifolia,25
662,Hulsea algida A. Gray,100
663,Quercus ×palaeolithicola Trel.,5
664,Navarretia peninsularis Greene,5
665,Ilex anomala Hook. & Arn.,25
666,Buxbaumia viridis (DC.) Moug. & Nestl.,10
667,Aliciella ripleyi (Barneby) J.M. Porter,10
668,Lupinus magnificus M.E. Jones,30
669,Lesquerella hemiphysaria Maguire var. lucens S.L. Welsh & Reveal,50
670,Salix planifolia Pursh,100
671,Stevia ovata Willd.,50
672,Acarospora scotica Hue,50
673,Galium schultesii Vest,10
674,Fontinalis macmillanii Cardot,30
675,Eucalyptus punctata DC.,100
676,Gibasis pellucida (M. Martens & Galeotti) D.R. Hunt,55
677,Eucalyptus morrisii R.T. Baker,25
678,Astragalus falcatus Lam.,55
679,Phacelia nemoralis Greene,50
680,Cladonia cornuta (L.) Hoffm. ssp. groenlandica (E. Dahl) Ahti,10
681,Piptochaetium stipoides (Trin. & Rupr.) Hack. ex Arechav.,30
682,Clauzadea monticola (Ach.) Hafellner & Bellem.,5
683,Corydalis curvisiliqua Engelm. ssp. occidentalis (Engelm. ex A. Gray) W.A. Weber,50
684,Ptychomitrium gardneri Lesq.,10
685,Beaucarnea Lem.,100
686,Caloplaca tominii Savicz,25
687,Trifolium andinum Nutt. var. andinum,5
688,Selaginella sibirica (Milde) Hieron.,100
689,Draba corymbosa R. Br. ex DC.,50
690,Melanelia sorediata (Ach.) Goward & Ahti,100
691,Medusulina nitida (Eschw.) Müll. Arg.,50
692,Navarretia heterodoxa (Greene) Greene,50
693,Sarracenia ×ahlesii C.R. Bell & Case,25
694,Pottia lanceolata (Hedw.) Müll. Hal.,50
695,Sabatia grandiflora (A. Gray) Small,30
696,Poa cusickii Vasey,30
697,Claytonia virginica L.,50
698,Sclerolinon C.M. Rogers,100
699,Helianthus giganteus L.,5
700,Phlox tenuifolia E.E. Nelson,25
701,Vernonia baldwinii Torr.,30
702,Echinocereus enneacanthus Engelm.,55
703,Physalis viscosa L.,30
704,Baltimora L.,100
705,Verbascum sinuatum L.,5
706,Eriogonum brevicaule Nutt. var. brevicaule,10
707,Funtumia africana (Benth.) Stapf,5
708,Delphinium sapellonis Cockerell,5
709,Eragrostis prolifera (Sw.) Steud.,5
710,Adiantum hispidulum Sw.,10
711,Ramalina denticulata Nyl.,10
712,Lachnocaulon digynum Koern.,100
713,Agrostis variabilis Rydb.,25
714,Ulota hutchinsiae (Sm.) Hammar var. rufescens (E. Britton) Dix.,25
715,Selenia jonesii Cory var. obovata Rollins,30
716,Dalea L.,50
717,Rubus segnis L.H. Bailey,25
718,Draba paysonii J.F. Macbr. var. treleasii (O.E. Schulz) C.L. Hitchc.,25
719,Didymodon vinealis (Brid.) R.H. Zander var. nicholsonii (Culm.) R.H. Zander,100
720,Paspalum acuminatum Raddi,25
721,Trematodon longicollis Michx.,55
722,Urera Gaudich.,5
723,Melica altissima L.,5
724,Dianthus caryophyllus L.,10
725,Echinops sphaerocephalus L.,5
726,Cardamine pensylvanica Muhl. ex Willd.,50
727,Polemonium cuspidatum Siebold & Zucc.,30
728,Solanum triquetrum Cav.,5
729,Eiglera Hafellner,50
730,Cleome stenophylla Klotzsch ex Urb.,30
731,Sedum mexicanum Britton,55
732,Aconitum ×bicolor Schult. (pro sp.),10
733,Phoradendron piperoides (Kunth) Trel.,50
734,Cistanthe parryi (A. Gray) Hershkovitz var. nevadensis (J.T. Howell) Kartesz & Gandhi,55
735,Buellia lecanoroides H. Magn.,5
736,Nissolia platycalyx S. Watson,100
737,Carex scabrata Schwein.,50
738,Lomatium hallii (S. Watson) J.M. Coult. & Rose,25
739,Korthalsella platycaula (v. Tiegh.) Engl.,25
740,Astrophytum Lem.,30
741,Allium perdulce S.V. Fraser var. perdulce,25
742,Muellerella pygmaea (Körb.) D. Hawksw. var. athallina (Müll. Arg.) Triebel,25
743,Eranthis Salisb.,30
744,Pseudolmedia Trécul,100
745,Plagiobothrys glyptocarpus (Piper) I.M. Johnst. var. modestus I.M. Johnst.,100
746,Baptisia ×fulva Larisey,55
747,Sisyrinchium albidum Raf.,25
748,Milla Cav.,100
749,Alternanthera Forssk.,55
750,Eucephalus ledophyllus (A. Gray) Greene,5
751,Arceuthobium divaricatum Engelm.,100
752,Plagiobothrys canescens Benth.,100
753,Lathyrus nevadensis S. Watson ssp. nevadensis,10
754,Salix ×ehrhartiana Sm. (pro sp.),55
755,Calamintha sylvatica Bromf. ssp. sylvatica,25
756,Jatropha gossypiifolia L.,50
757,Hastingsia bracteosa S. Watson var. atropurpurea (Becking) F. Lang & P. Zika,30
758,Nepsera aquatica (Aubl.) Naud.,55
759,Aspicilia myrinii (Fr.) Stein,55
760,Mentzelia hirsutissima S. Watson,50
761,Vinca major L.,55
762,Cassia L.,30
763,Petitia Jacq.,30
764,Corylus cornuta Marshall var. californica (A. DC.) Sharp,55
765,Agalinis divaricata (Chapm.) Pennell,5
766,Sideroxylon tenax L.,10
767,Agave asperrima Jacobi,5
768,Picrasma Blume,5
769,Glandularia canadensis (L.) Nutt.,5
770,Didymodon vinealis (Brid.) R.H. Zander var. brachyphyllus (Sull.) R.H. Zander,5
771,Agonimia Zahlbr.,50
772,Nephroma helveticum Ach.,50
773,Achnatherum parishii (Vasey) Barkworth var. depauperatum (M.E. Jones) Barkworth,100
774,Pertusaria subobducens Nyl.,5
775,Triphysaria Fisch. & C.A. Mey.,5
776,Pinus strobiformis Engelm.,100
777,Fremontodendron decumbens R. Lloyd,10
778,Malus ×arnoldiana (Rehder) Sarg. ex Rehder,25
779,Hackelia patens (Nutt.) I.M. Johnst.,10
780,Lepechinia calycina (Benth.) Epling ex Munz,25
781,Carex magellanica Lam.,55
782,Teucrium scorodonia L.,50
783,Lecanora glabrata (Ach.) Malme,50
784,Acisanthera quadrata Pers.,5
785,Sisyrinchium chilense Hook.,50
786,Lupinus albus L.,55
787,Arabis koehleri Howell var. koehleri,10
788,Trillium pusillum Michx.,30
789,Lilium L.,50
790,Poa hartzii Gandog. ssp. hartzii var. hartzii,100
791,Geranium pyrenaicum Burm. f.,5
792,Viola pubescens Aiton var. scabriuscula Schwein. ex Torr. & A. Gray,55
793,Tragia brevispica Engelm. & A. Gray,55
794,Digitaria didactyla Willd. [excluded],10
795,Tetraneuris acaulis (Pursh) Greene var. nana (S.L. Welsh) Kartesz & Gandhi,50
796,Achillea millefolium L. var. nigrescens E. Mey.,25
797,Croton coryi Croizat,30
798,Leavenworthia aurea Torr. var. aurea,10
799,Portulaca umbraticola Kunth ssp. coronata (Small) Matthews & Ketron,100
800,Iresine diffusa Humb. & Bonpl. ex Willd.,55
801,Lithophragma maximum Bacig.,100
802,Melpomense anfractuosa (Kunze ex Klotzsch) A.R. Sm. & R.C. Moran,10
803,Machaerina angustifolia (Gaudich.) T. Koyama,100
804,Campylium radicale (P. Beauv.) Grout,10
805,Licaria brittoniana Allen & Gregory,100
806,Pedicularis langsdorffii Fisch. ex Stev. ssp. arctica (R. Br.) Pennell,25
807,Meesia longiseta Hedw.,30
808,Platanthera grandiflora (Bigelow) Lindl.,30
809,×Triticosecale Wittm. ex A. Camus,50
810,Euphrasia ×aequalis Callen,50
811,Euthamia occidentalis Nutt.,50
812,Polygonum californicum Meisn.,55
813,Sapium laurifolium (A. Rich.) Griseb.,30
814,Sceptridium subbifoliatum (Brack.) W.H. Wagner,50
815,Arabis suffrutescens S. Watson,55
816,Helianthemum salicifolium (L.) Mill.,55
817,Astragalus phoenix Barneby,55
818,Platanthera ×andrewsii (M. White) Luer,30
819,Chamaesyce skottsbergii (Sherff) Croizat & O. Deg. var. vaccinioides (Sherff) Koutnik,55
820,Castilleja subinclusa Greene,30
821,Sidalcea hirtipes C.L. Hitchc.,50
822,Myrsine denticulata (Wawra) Hosaka,55
823,Dryas drummondii Richardson ex Hook.,10
824,Rudbeckia triloba L.,50
825,Oenothera macrocarpa Nutt.,25
826,Horkelia congesta Douglas ex Hook.,25
827,Ivesia cryptocaulis (Clokey) D.D. Keck,50
828,Hypolepis nigrescens Hook.,5
829,Thelypteris boydiae (D.C. Eaton) K. Iwats.,5
830,Lythrum ovalifolium Koehne,100
831,Cordylanthus rigidus (Benth.) Jeps. ssp. rigidus,100
832,Hunnemannia fumariifolia Sweet,30
833,Usnea fibrillosa Mot.,100
834,Hypericum scouleri Hook.,50
835,Condalia spathulata A. Gray,10
836,Pectis rusbyi Greene ex A. Gray,25
837,Itea L.,30
838,Pinus cembra L.,50
839,Mimulus bigelovii (A. Gray) A. Gray var. bigelovii,5
840,Eriogonum cinereum Benth.,50
841,Penstemon barrettiae A. Gray,30
842,Erodium macrophyllum Hook. & Arn.,50
843,Veronica peregrina L. ssp. xalapensis (Kunth) Pennell,55
844,Rubus randolphiorum L.H. Bailey,25
845,Polymnia canadensis L.,25
846,Thelidium microbolum (Tuck.) Hasse,100
847,Perityle tenella (M.E. Jones) J.F. Macbr.,55
848,Elymus ×ebingeri G. Tucker,25
849,Artemisia glomerata Ledeb. var. subglabrata Hultén,10
850,Chrysolepis sempervirens (Kellogg) Hjelmqvist,55
851,Rubus inclinis L.H. Bailey,55
852,Eucalyptus tetragona (R. Br.) F. Muell.,10
853,Trisetum Pers.,5
854,Anthoxanthum odoratum L.,55
855,Iris tenax Douglas ex Lindl.,5
856,Chorizanthe xanti S. Watson,10
857,Philonotis fontana (Hedw.) Brid. var. fontana,10
858,Senna singueana (Delile) Lock,30
859,Festuca californica Vasey,55
860,Itea L.,55
861,Eriogonum baileyi S. Watson,55
862,Aquilegia flavescens S. Watson var. rubicunda (Tidestr.) S.L. Welsh,100
863,Dirinaria confluens (Fr.) D.D. Awasthi,30
864,Cirsium fontinale (Greene) Jeps.,25
865,Platyschkuhria integrifolia (A. Gray) Rydb. var. oblongifolia (A. Gray) W. Ellison,100
866,Macbridea Elliott ex Nutt.,50
867,Asclepias rubra L.,55
868,Placynthium (Ach.) A. Gray,100
869,Parkia R. Br.,100
870,Rhodiola integrifolia Raf.,50
871,Zantedeschia aethiopica (L.) Spreng.,50
872,Astragalus didymocarpus Hook. & Arn. var. obispoensis (Rydb.) Jeps.,25
873,"Polygonum cespitosum Blume, nom. inq.",25
874,Rhynchospora capitellata (Michx.) Vahl,100
875,Tephrosia rugelii Shuttlw. ex B.L. Rob.,55
876,Aira L.,50
877,Pedicularis cystopteridifolia Rydb.,100
878,Pogogyne douglasii Benth.,50
879,Leucanthemum ×superbum (Bergmans ex J.W. Ingram) Bergmans ex Kent.,5
880,Gnaphalium L.,50
881,Allionia incarnata L. var. villosa (Standl.) B.L. Turner,10
882,Myrsine pukooensis (Levl.) Hosaka,25
883,Andromeda L.,30
884,Plagiobothrys glyptocarpus (Piper) I.M. Johnst. var. glyptocarpus,5
885,Ternstroemia Mutis ex L. f.,55
886,Geranium retrorsum L'Hér. ex DC.,5
887,Comandra umbellata (L.) Nutt.,25
888,Mnium stellare Hedw.,5
889,Agrostis canina L.,55
890,Neptunia pubescens Benth. var. microcarpa (Rose) Windler,5
891,Perityle lindheimeri (A. Gray) Shinners,55
892,Sphaeralcea munroana (Douglas) Spach,50
893,Conyza canadensis (L.) Cronquist,5
894,Collomia debilis (S. Watson) Greene,55
895,Ditrichum pusillum (Hedw.) Hampe,25
896,Pohlia melanodon (Brid.) Shaw,100
897,Verrucaria silicicola Fink,10
898,Rosa bridgesii Crép.,50
899,Haplophyton A. DC.,30
900,Bartonia paniculata (Michx.) Muhl. ssp. iodandra (B.L. Rob.) J.M. Gillett,25
901,Symphyotrichum sericeum (Vent.) G.L. Nesom,10
902,Halimolobos virgata (Nutt.) O.E. Schulz,30
903,Euphorbia gaudichaudii Boiss.,30
904,Scutellaria sapphirina (Barneby) Olmstead,55
905,Viola vanroyenii H. St. John,55
906,Viola trinervata (Howell) Howell ex A. Gray,10
907,Scleria testacea Nees,100
908,Cryptantha pterocarya (Torr.) Greene,100
909,Carex annectens (E.P. Bicknell) E.P. Bicknell,30
910,Carex planispicata Naczi,10
911,Lempholemma chalazanum (Ach.) de Lesd.,100
912,Glandularia bipinnatifida (Nutt.) Nutt. var. bipinnatifida,10
913,Echinocereus enneacanthus Engelm. var. brevispinus (W.O. Moore) L.D. Benson,50
914,Villadia squamulosa (S. Watson) Rose,100
915,Claytonia umbellata S. Watson,25
916,Crataegus dissona Sarg.,100
917,Lupinus formosus Greene var. formosus,30
918,Lathyrus jepsonii Greene ssp. californicus (S. Watson) C.L. Hitchc.,5
919,Cyanea fissa (H. Mann) Hillebr.,30
920,Hordeum intercedens Nevski,50
921,Lecanora cinereofusca H. Magn.,100
922,Streptanthus diversifolius S. Watson,30
923,Banksia spinulosa Sm.,25
924,Anthriscus cerefolium (L.) Hoffm.,10
925,Packera greenei (A. Gray) W.A. Weber & Á. Löve,10
926,Monolepis nuttalliana (Schult.) Greene,10
927,Eriogonum eastwoodianum J.T. Howell,10
928,Valerianella palmeri Dyal,5
929,Carex loliacea L.,55
930,Micarea lithinella (Nyl.) Hedl.,5
931,Sansevieria roxburghiana Schult. & Schult. f.,25
932,Ribes curvatum Small,50
933,Crassula saginoides (Maxim.) Bywater & Wickens,50
934,Heterotheca oregona (Nutt.) Shinners var. rudis (Greene) Semple,10
935,Jacquinia L.,50
936,Heterotheca villosa (Pursh) Shinners var. minor (Hook.) Semple,30
937,Crepis runcinata (James) Torr. & A. Gray ssp. barberi (Greenm.) Babc. & Stebbins,50
938,Cystopteris Bernh.,55
939,Phacelia nemoralis Greene ssp. oregonensis Heckard,5
940,Bidens heterosperma A. Gray,100
941,Samyda Jacq.,10
942,Aspicilia gibbosa (Ach.) Körb.,50
943,Grindelia decumbens Greene var. subincisa (Greene) Steyerm.,55
944,Synthyris borealis Pennell,10
945,Danaea Sm.,30
946,Erigeron pulchellus Michx. var. tolsteadii Cronquist,100
947,Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles,55
948,Lenophyllum texanum (J.G. Sm.) Rose,10
949,Chlorogalum pomeridianum (DC.) Kunth var. minus Hoover,5
950,Lepidium dictyotum A. Gray,55
951,Acaena pallida (Kirk) Allen,25
952,Pedicularis bracteosa Benth.,10
953,Corticifraga D. Hawksw. & R. Sant.,30
954,Cheilanthes cooperae D.C. Eaton,100
955,Dirinaria confusa D.D. Awasthi var. saxicola (Rasanen) D.D. Awasthi,55
956,Sedum oreganum Nutt.,10
957,Triumfetta lappula L.,100
958,Schiedea mannii H. St. John,50
959,Indigofera australis Willd.,10
960,Dianthus superbus L.,50
961,Monarda viridissima Correll,100
962,Bidens campylotheca Sch. Bip. ssp. campylotheca,10
963,Nuphar lutea (L.) Sm. ssp. rubrodisca (Morong) Hellquist & Wiersema,10
964,Mentzelia oreophila J. Darl.,50
965,Wyethia ×cusickii Piper (pro sp.),5
966,Ficus tinctoria G. Forst.,5
967,Parthenocissus Planch.,50
968,Euphorbia hexagona Nutt. ex Spreng.,5
969,Areca catechu L.,25
970,Ambrosia linearis (Rydb.) Payne,25
971,Epimedium ×youngianum Fisch. & C.A. Mey. (pro sp.),50
972,Prunus alleghaniensis Porter,55
973,Salix glauca L. ssp. glauca var. glauca,100
974,Silene repens Patrin ex Pers. ssp. australis C.L. Hitchc. & Maguire,55
975,Ranunculus gormanii Greene,10
976,Clematis viorna L.,55
977,Reynosia guama Urb.,100
978,Dicranum angustum Lindb.,25
979,Portulaca sclerocarpa A. Gray,10
980,Phlox pulvinata (Wherry) Cronquist,55
981,Rubus exeter L.H. Bailey,100
982,Lobaria pulmonaria (L.) Hoffm.,10
983,Gutierrezia Lag.,30
984,Viola blanda Willd. var. palustriformis A. Gray,100
985,Juncus glomeratus Batson,25
986,Cyrtandra laxiflora H. Mann,55
987,Schoenoplectus lacustris (L.) Palla,55
988,Eryngium foetidum L.,10
989,Monochoria C. Presl,30
990,Yucca angustissima Engelm. ex Trel. var. angustissima,25
991,Mentzelia sinuata (Rydb.) R.J. Hill,25
992,Crossopetalum P. Br.,50
993,Cyrtopodium polyphyllum (Vell.) Pabst ex Barrios,5
994,Astragalus webberi A. Gray ex W.H. Brewer & S. Watson,100
995,Mielichhoferia mielichhoferiana (Funck) Loeske,25
996,Helianthus angustifolius L.,55
997,Vesicarpa potentilloides (A. Gray) Rydb. var. potentilloides,55
998,Calochortus kennedyi Porter,30
999,Silene caroliniana Walter ssp. wherryi (Small) R.T. Clausen,50
1000,Prunus serrulata Lindl.,5
